Airport,169835
Alewife,242200
Andrew Square,145955
Aquarium,106188
Arlington,200813
Ashmont,203866
Back Bay,400436
Beachmont,68480
Bowdoin,38583
Boylston,192125
Braintree,107207
Broadway,131022
Central Square,406389
Charles MGH,259210
Chinatown,161724
Community College,123607
Copley Square,361080
Courthouse,29648
Davis Square,325479
Downtown Crossing,496942
Fields Corner,122236
Forest Hills,330749
Government Center,228187
Green Street,81835
Harvard,581530
Haymarket,268534
Hynes,249517
JFK/U Mass,207333
Jackson Square,137892
Kendall Square,375640
Kenmore Square,231476
Lechmere,158279
Malden Center ,269893
Mass Ave,156992
Maverick,249340
North Quincy,146855
North Station,401171
Oak Grove,134682
Orient Heights,84660
Park Street,412809
Porter Square,221055
Prudential,102975
Quincy Adams,100627
Quincy Center,192675
Revere Beach,72391
Riverside,47423
Roxbury Crossing,108174
Ruggles,258163
Savin Hill,56457
Science Park,23984
Shawmut,51981
South Station,559110
State Street,286352
Stony Brook,87346
Suffolk Downs,15619
Sullivan Square,247474
Symphony,50023
Tufts Medical Center,148548
Wellington ,162600
Wollaston,102280
Wonderland,142216
Wood Island,44437
World Trade Center,42482
